candidate_id	edge_index	lr_row	lmr_row	lower	effect_type	affected_Q_head	new_Q_supplier	retired_Q_heads	Q_neighbors	Q_credit	matching	deficiency	zero_heads	child_hall_heads	child_hall_neighbors	child_graph_fnv64	directed_disjoint_partners112621	directed_Qpass_partners	directed_H_partners_closed	directed_open_S_or_Z_partners
4	1421	621	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	083e8024edc3a651	112506	112499	401	112098
7	2548	1301	12948	14	RETIRE	12948	-	1	2	1	16877	21	19	23	2	b01c7d8445461dd4	112503	112496	401	112095
8	2579	1307	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	9223268fdb9877d7	112506	112499	401	112098
9	2652	1329	12948	14	RETIRE	12948	-	1	2	1	16877	21	19	24	3	26ea6d9db8bfba2d	112503	112496	401	112095
10	2915	1413	12948	14	RETIRE	12948	-	1	2	1	16877	21	19	23	2	b17933bd3d788513	112505	112498	401	112097
28	10559	3884	12948	14	RETIRE	12948	-	1	2	1	16877	21	19	24	3	f83a875acdc4b3bd	112507	112500	401	112099
29	11046	4010	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	e73b7765326dd050	112508	112501	401	112100
32	12234	4725	12948	14	RETIRE	12948	-	1	2	1	16877	21	19	26	5	22a7c9240cebf82a	112503	112496	401	112095
77	21887	8240	12948	14	RETIRE	12948	-	1	2	1	16877	21	19	25	4	206b6d2908033126	112505	112498	401	112097
93	27761	9439	6063	5266	ADD_THIRD	5831	6063	0	3	1	16877	21	18	24	3	4b8f1969db8edc7b	112602	112595	468	112127
101	29076	9900	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	5e8e6cee651b0fa6	112502	112495	401	112094
102	29322	9956	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	c78d6e47313e8c9b	112506	112499	401	112098
113	37106	11588	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	175ea40893a671e3	112500	112493	401	112092
120	38135	11745	12365	24704	ADD_THIRD	12310	12365	0	3	1	16877	21	19	23	2	b7f499b624dbcfe7	112475	112468	369	112099
129	39533	12081	12365	24704	ADD_THIRD	12310	12365	0	3	1	16877	21	19	23	2	c13217a8f0cf65cd	112475	112468	369	112099
146	42257	13007	12927	65550	ADD_THIRD	12948	12927	0	3	1	16877	21	20	22	1	87a3c1a4b2e201c5	112560	112553	449	112104
147	42258	13007	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	47d2cced7d4f4e2a	112498	112491	401	112090
148	42260	13007	13057	65614	ADD_THIRD	13148	13057	0	3	1	16877	21	20	22	1	53eba31c32bc57e7	112584	112577	467	112110
149	42475	13023	12927	65550	ADD_THIRD	12948	12927	0	3	1	16877	21	20	22	1	a5d4604854e542bd	112560	112553	449	112104
150	42476	13023	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	de0db245a29f6a28	112498	112491	401	112090
151	42734	13043	12927	65550	ADD_THIRD	12948	12927	0	3	1	16877	21	20	22	1	634e389886ada4a4	112562	112555	449	112106
152	42735	13043	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	a3d25a216bd47b5c	112500	112493	401	112092
162	43721	13238	12927	65550	ADD_THIRD	12948	12927	0	3	1	16877	21	20	22	1	4a81b19225e7f9ae	112560	112553	449	112104
163	43722	13238	12948	14	RETIRE	12948	-	1	2	1	16877	21	20	22	1	c5114edb786e72d1	112498	112491	401	112090
