unique witnesses:
1=[123,123] len=1
2=[55,55] len=1
3=[15,15] len=1
4=[52,52] len=1
5=[32,32] len=1
6=[96,96] len=1
7=[27,27] len=1
8=[67,67] len=1
9=[84,84] len=1
10=[43,43] len=1
11=[28,28] len=1
12=[3,3] len=1
13=[46,46] len=1
14=[116,116] len=1
15=[27,28] len=2
16=[72,72] len=1
17=[106,106] len=1
18=[39,39] len=1
19=[62,62] len=1
20=[121,121] len=1
21=[128,128] len=1
22=[26,26] len=1
23=[26,27] len=2
24=[77,77] len=1
25=[53,53] len=1
26=[124,124] len=1
27=[123,124] len=2
28=[115,115] len=1
29=[52,53] len=2
30=[115,116] len=2
31=[26,28] len=3
32=[99,99] len=1
33=[47,47] len=1
34=[61,61] len=1
35=[36,36] len=1
36=[93,93] len=1
37=[104,104] len=1
38=[35,35] len=1
39=[35,36] len=2
40=[41,41] len=1
41=[29,29] len=1
42=[2,2] len=1
43=[28,29] len=2
44=[11,11] len=1
45=[46,47] len=2
46=[2,3] len=2
47=[27,29] len=3
48=[114,114] len=1
49=[51,51] len=1
50=[125,125] len=1
51=[61,62] len=2
52=[60,60] len=1
53=[51,52] len=2
54=[60,61] len=2
55=[60,62] len=3
56=[83,83] len=1
57=[83,84] len=2
58=[124,125] len=2
59=[123,125] len=3
60=[114,115] len=2
61=[51,53] len=3
62=[114,116] len=3
63=[26,29] len=4
64=[57,57] len=1
65=[110,110] len=1
66=[9,9] len=1
67=[38,38] len=1
68=[113,113] len=1
69=[95,95] len=1
70=[118,118] len=1
71=[95,96] len=2
72=[17,17] len=1
73=[31,31] len=1
74=[109,109] len=1
75=[109,110] len=2
76=[108,108] len=1
77=[31,32] len=2
78=[108,109] len=2
79=[108,110] len=3
80=[89,89] len=1
81=[18,18] len=1
82=[25,25] len=1
83=[38,39] len=2
84=[107,107] len=1
85=[106,107] len=2
86=[25,26] len=2
87=[25,27] len=3
88=[40,40] len=1
89=[17,18] len=2
90=[39,40] len=2
91=[38,40] len=3
92=[107,108] len=2
93=[106,108] len=3
94=[107,109] len=3
96=[81,81] len=1
97=[16,16] len=1
98=[49,49] len=1
99=[15,16] len=2
100=[48,48] len=1
101=[47,48] len=2
102=[48,49] len=2
103=[47,49] len=3
104=[10,10] len=1
105=[16,17] len=2
106=[9,10] len=2
107=[15,17] len=3
108=[10,11] len=2
109=[46,48] len=3
110=[9,11] len=3
111=[46,49] len=4
112=[50,50] len=1
113=[50,51] len=2
114=[49,50] len=2
