source_cut_state,target_cut_state,legal_destination_state,source_component,target_component
0,0,1,0,0
1,1,2,0,0
2,2,3,0,0
3,3,4,0,0
4,4,5,0,0
5,5,6,0,0
6,6,7,0,0
7,7,8,0,0
8,8,9,0,0
9,9,10,0,0
10,10,11,0,0
11,11,12,0,0
12,12,13,0,0
13,13,14,0,0
14,14,15,0,0
15,15,16,0,0
16,16,0,0,0
17,0,1,1,0
17,17,18,1,1
18,1,2,1,0
18,18,19,1,1
19,2,3,1,0
19,19,20,1,1
20,3,4,1,0
20,20,21,1,1
21,4,5,1,0
21,21,22,1,1
22,22,23,1,1
23,23,24,1,1
24,24,25,1,1
25,25,26,1,1
26,26,27,1,1
27,27,28,1,1
28,28,29,1,1
29,29,30,1,1
30,15,16,1,0
30,30,31,1,1
31,16,0,1,0
31,31,32,1,1
32,0,1,1,0
32,32,33,1,1
33,1,2,1,0
33,33,34,1,1
34,2,3,1,0
34,34,35,1,1
35,35,36,1,1
36,36,37,1,1
37,37,38,1,1
38,38,39,1,1
39,39,40,1,1
40,40,41,1,1
41,41,42,1,1
42,42,43,1,1
43,13,14,1,0
43,43,44,1,1
44,14,15,1,0
44,44,45,1,1
45,15,16,1,0
45,45,46,1,1
46,16,0,1,0
46,46,47,1,1
47,0,1,1,0
47,47,48,1,1
48,48,49,1,1
49,49,50,1,1
50,50,51,1,1
51,51,52,1,1
52,52,53,1,1
53,53,54,1,1
54,54,55,1,1
55,55,56,1,1
56,11,12,1,0
56,56,57,1,1
57,12,13,1,0
57,57,58,1,1
58,13,14,1,0
58,58,59,1,1
59,14,15,1,0
59,59,60,1,1
60,15,16,1,0
60,60,61,1,1
61,61,62,1,1
62,62,63,1,1
63,63,64,1,1
64,64,65,1,1
65,65,66,1,1
66,66,67,1,1
67,67,68,1,1
68,68,69,1,1
69,9,10,1,0
69,69,70,1,1
70,10,11,1,0
70,70,71,1,1
71,11,12,1,0
71,71,72,1,1
72,12,13,1,0
72,72,73,1,1
73,13,14,1,0
73,73,74,1,1
74,74,75,1,1
75,75,76,1,1
76,76,77,1,1
77,77,78,1,1
78,78,79,1,1
79,79,80,1,1
80,80,81,1,1
81,81,82,1,1
82,7,8,1,0
82,82,83,1,1
83,8,9,1,0
83,83,84,1,1
84,9,10,1,0
84,84,85,1,1
85,10,11,1,0
85,85,86,1,1
86,11,12,1,0
86,86,87,1,1
87,87,88,1,1
88,88,89,1,1
89,89,90,1,1
90,90,91,1,1
91,91,92,1,1
92,92,93,1,1
93,93,94,1,1
94,94,95,1,1
95,5,6,1,0
95,95,96,1,1
96,6,7,1,0
96,96,97,1,1
97,7,8,1,0
97,97,98,1,1
98,8,9,1,0
98,98,99,1,1
99,9,10,1,0
99,99,100,1,1
100,100,101,1,1
101,101,102,1,1
102,102,103,1,1
103,103,104,1,1
104,104,105,1,1
105,105,106,1,1
106,106,107,1,1
107,107,108,1,1
108,3,4,1,0
108,108,109,1,1
109,4,5,1,0
109,109,110,1,1
110,5,6,1,0
110,110,111,1,1
111,6,7,1,0
111,111,112,1,1
112,7,8,1,0
112,112,113,1,1
113,113,114,1,1
114,114,115,1,1
115,115,116,1,1
116,116,117,1,1
117,117,118,1,1
118,118,119,1,1
119,119,120,1,1
120,120,121,1,1
121,1,2,1,0
121,121,122,1,1
122,2,3,1,0
122,122,123,1,1
123,3,4,1,0
123,123,124,1,1
124,4,5,1,0
124,124,125,1,1
125,5,6,1,0
125,125,126,1,1
126,126,127,1,1
127,127,128,1,1
128,128,129,1,1
129,129,130,1,1
130,130,131,1,1
131,131,132,1,1
132,132,133,1,1
133,133,134,1,1
134,16,0,1,0
134,134,135,1,1
135,0,1,1,0
135,135,136,1,1
136,1,2,1,0
136,136,137,1,1
137,2,3,1,0
137,137,138,1,1
138,3,4,1,0
138,138,139,1,1
139,139,140,1,1
140,140,141,1,1
141,141,142,1,1
142,142,143,1,1
143,143,144,1,1
144,144,145,1,1
145,145,146,1,1
