source_state,destination_state,source_cycle,destination_cycle,height,legal,kind
16,0,0,0,3,1,native
134,0,1,0,3,1,cross_component
31,0,1,0,3,1,cross_component
149,0,1,0,3,1,cross_component
46,0,1,0,3,1,cross_component
164,0,1,0,3,1,cross_component
61,0,1,0,3,0,cross_component
179,0,1,0,3,0,cross_component
0,0,0,0,3,1,self
0,1,0,0,3,1,native
17,1,1,0,3,1,cross_component
135,1,1,0,3,1,cross_component
32,1,1,0,3,1,cross_component
150,1,1,0,3,1,cross_component
47,1,1,0,3,1,cross_component
165,1,1,0,3,0,cross_component
62,1,1,0,3,0,cross_component
1,1,0,0,3,1,self
1,2,0,0,3,1,native
121,2,1,0,3,1,cross_component
18,2,1,0,3,1,cross_component
136,2,1,0,3,1,cross_component
33,2,1,0,3,1,cross_component
151,2,1,0,3,1,cross_component
48,2,1,0,3,0,cross_component
166,2,1,0,3,0,cross_component
2,2,0,0,3,1,self
2,3,0,0,3,1,native
225,3,1,0,3,1,cross_component
122,3,1,0,3,1,cross_component
19,3,1,0,3,1,cross_component
137,3,1,0,3,1,cross_component
34,3,1,0,3,1,cross_component
152,3,1,0,3,0,cross_component
49,3,1,0,3,0,cross_component
3,3,0,0,3,1,self
3,4,0,0,3,1,native
108,4,1,0,3,1,cross_component
226,4,1,0,3,1,cross_component
123,4,1,0,3,1,cross_component
20,4,1,0,3,1,cross_component
138,4,1,0,3,1,cross_component
35,4,1,0,3,0,cross_component
153,4,1,0,3,0,cross_component
4,4,0,0,3,1,self
4,5,0,0,3,1,native
212,5,1,0,3,1,cross_component
109,5,1,0,3,1,cross_component
227,5,1,0,3,1,cross_component
124,5,1,0,3,1,cross_component
21,5,1,0,3,1,cross_component
139,5,1,0,3,0,cross_component
36,5,1,0,3,0,cross_component
5,5,0,0,3,1,self
5,6,0,0,3,1,native
95,6,1,0,3,1,cross_component
213,6,1,0,3,1,cross_component
110,6,1,0,3,1,cross_component
228,6,1,0,3,1,cross_component
125,6,1,0,3,1,cross_component
22,6,1,0,3,0,cross_component
140,6,1,0,3,0,cross_component
6,6,0,0,3,1,self
6,7,0,0,3,1,native
199,7,1,0,3,1,cross_component
96,7,1,0,3,1,cross_component
214,7,1,0,3,1,cross_component
111,7,1,0,3,1,cross_component
229,7,1,0,3,1,cross_component
126,7,1,0,3,0,cross_component
23,7,1,0,3,0,cross_component
7,7,0,0,3,1,self
7,8,0,0,3,1,native
82,8,1,0,3,1,cross_component
200,8,1,0,3,1,cross_component
97,8,1,0,3,1,cross_component
215,8,1,0,3,1,cross_component
112,8,1,0,3,1,cross_component
230,8,1,0,3,0,cross_component
127,8,1,0,3,0,cross_component
8,8,0,0,3,1,self
