rows	core	order	owner_ids	status
3,7,16,51,322,395,463,466,515,634	0,2,3,7,8	1,4,9,6,10,13,15,12,14,16	4,38,595,1390,894,797,800,809,87,24	frozen
3,7,16,155,265,463,466,515,526,634	0,2,3,7,8	6,1,4,9,16,14,12,15,13,10	4,24,386,934,800,797,894,1390,537,12	frozen
3,7,16,242,322,395,463,466,507,634	0,2,3,7,8	1,4,9,6,10,13,15,14,12,16	4,38,595,1390,910,797,800,809,498,24	frozen
3,7,18,19,37,84,124,126,320,465	0,4,6,7,8	1,3,9,2,10,12,11,5,16,15	4,38,279,419,424,796,593,35,26,141	frozen
3,7,18,19,68,132,154,229,503,507	0,1,3,6,7	2,8,9,4,16,14,5,13,12,10	4,32,243,38,118,399,879,874,219,35	frozen
3,7,18,37,38,126,154,263,335,424	0,1,3,4,6	2,8,7,9,16,14,13,12,15,10	4,32,243,535,63,62,725,793,213,12	frozen
3,7,18,131,194,196,265,468,496,650	3,4,7,8,9	1,6,0,2,10,14,15,13,11,16	4,38,1071,805,387,402,896,1344,273,32	frozen
3,7,18,143,148,265,494,535,558,570	0,3,4,8,9	1,6,7,2,10,14,12,5,11,16	4,38,1071,1010,1141,1154,927,232,237,32	frozen
3,7,18,148,155,265,266,631,634,650	0,1,4,6,8	2,7,3,9,16,11,5,15,13,10	4,32,237,244,537,1390,1344,1309,538,12	frozen
3,7,18,148,155,266,480,495,496,512	0,1,4,6,8	2,7,3,9,16,11,5,12,13,10	4,32,237,244,826,987,896,890,538,12	frozen
3,7,19,28,37,54,176,192,260,673	0,3,4,6,7	2,1,8,9,15,5,14,16,11,10	4,141,162,276,35,1097,1406,301,83,12	frozen
3,7,19,35,142,243,318,463,496,515	1,2,6,8,9	4,0,3,7,16,5,10,11,14,13	4,30,38,157,452,590,800,904,896,499	frozen
3,7,19,49,266,338,347,378,627,631	0,1,3,7,9	4,8,2,6,16,5,12,14,13,15	4,30,12,538,1309,1305,736,616,998,114	frozen
3,7,19,68,84,228,284,465,495,584	1,2,3,7,8	4,0,6,9,16,5,15,11,12,13	4,30,38,118,556,1178,987,380,796,424	frozen
3,7,19,154,219,221,224,228,311,449	0,1,6,7,8	4,3,2,9,16,12,13,14,15,10	4,30,583,380,415,359,350,754,261,12	frozen
3,7,19,239,265,356,362,434,618,625	0,2,6,7,9	1,3,8,4,13,15,10,12,5,16	4,512,1081,1427,642,1285,730,537,12,30	frozen
3,7,19,246,266,338,347,378,629,631	0,1,3,7,9	4,8,2,6,16,5,12,14,15,13	4,30,12,538,1309,1307,736,616,998,504	frozen
3,7,19,249,260,505,516,564,571,594	0,3,6,7,9	1,2,8,4,10,14,15,11,12,16	4,38,1103,941,1148,1155,1217,900,532,30	frozen
3,7,35,36,148,239,283,393,512,628	0,2,3,7,8	1,4,6,9,13,11,15,5,16,10	4,512,677,890,1426,555,237,61,60,12	frozen
3,7,36,38,154,381,446,495,628,663	0,1,4,6,8	7,3,2,9,11,5,13,12,15,10	4,61,63,662,987,747,1426,1346,261,12	frozen
3,7,36,54,57,83,84,243,332,424	3,4,6,7,9	0,8,2,1,14,12,11,5,16,10	4,459,610,715,61,499,424,106,152,38	frozen
3,7,36,54,83,84,191,243,332,335	3,4,6,7,9	0,8,2,1,14,12,5,11,16,10	4,459,610,613,61,499,424,412,152,38	frozen
3,7,36,54,260,335,408,629,663,673	0,3,4,6,9	1,2,8,7,10,16,14,13,15,11	4,38,152,942,1360,532,1353,1387,613,61	frozen
3,7,36,54,260,350,408,477,629,663	0,3,4,6,9	1,2,8,7,10,16,14,15,13,11	4,38,152,942,822,532,1353,1387,630,61	frozen
3,7,36,126,350,374,377,389,393,422	0,2,6,8,9	1,3,4,7,10,12,15,14,13,11	4,38,279,630,658,677,671,996,655,61	frozen
3,7,36,126,350,550,628,629,631,650	0,2,4,6,9	1,3,8,7,10,12,15,14,13,11	4,38,279,1387,1306,1133,1309,1344,630,61	frozen
3,7,36,143,266,535,564,566,570,650	0,1,2,6,8	7,4,3,9,11,14,5,15,13,10	4,61,1150,1154,1148,232,1329,1020,538,12	frozen
3,7,36,150,196,224,265,457,495,527	2,3,4,8,9	1,6,0,7,10,14,13,12,16,11	4,38,1071,307,415,987,978,919,239,61	frozen
3,7,36,199,249,501,563,585,670,673	0,3,4,6,9	1,2,8,7,10,14,13,16,12,11	4,38,1103,1179,1360,1147,1356,871,314,61	frozen
3,7,37,89,167,186,260,404,453,664	1,3,4,7,8	2,0,6,9,15,14,12,5,13,10	4,141,453,1411,957,955,327,175,532,12	frozen
3,7,37,126,131,258,263,404,429,595	0,4,7,8,9	1,3,6,2,10,12,5,14,11,15	4,38,279,273,530,535,692,1199,748,141	frozen
3,7,38,49,54,154,454,560,585,595	0,1,3,4,7	6,2,8,9,15,5,12,14,11,10	4,114,126,1143,261,763,1199,1179,83,12	frozen
3,7,38,49,54,167,408,453,521,560	0,1,3,4,7	6,2,8,9,15,5,12,13,11,10	4,114,126,1143,260,762,1057,696,83,12	frozen
3,7,49,54,167,404,408,453,560,570	0,1,3,4,7	6,2,8,9,15,12,5,13,11,10	4,114,1218,1143,260,762,692,696,83,12	frozen
3,7,54,83,132,154,408,584,650,678	2,3,6,7,9	0,4,8,1,14,16,11,13,12,10	4,459,438,1329,1378,1227,152,942,243,38	frozen
3,7,63,83,84,194,457,507,527,584	1,2,3,7,8	0,4,6,9,13,5,12,15,11,10	4,169,170,304,910,1178,978,919,94,12	frozen
3,7,68,83,149,186,229,260,263,560	1,3,4,7,8	0,2,6,9,14,15,16,5,13,10	4,459,453,381,100,355,1158,535,532,12	frozen
3,7,83,126,274,320,322,350,465,468	2,6,7,8,9	0,4,3,1,14,13,5,15,12,10	4,459,805,808,974,703,546,630,279,38	frozen
3,7,83,132,228,249,495,496,503,650	1,2,3,6,7	0,4,8,9,14,16,11,12,13,10	4,459,438,1329,852,851,434,874,521,12	frozen
3,7,83,132,228,265,465,466,503,535	2,3,4,8,9	0,7,6,1,13,14,5,12,15,10	4,169,797,796,380,874,537,1020,438,38	frozen
3,7,83,132,228,465,466,503,535,561	1,2,6,7,8	0,3,4,9,14,13,5,15,12,10	4,459,806,808,434,1065,1144,1010,219,12	frozen
3,7,83,186,260,452,488,491,563,664	2,3,6,7,9	0,8,4,1,13,12,15,11,14,10	4,169,294,1349,759,937,854,1230,1097,38	frozen
3,7,83,322,332,390,422,452,488,633	2,3,6,7,9	0,8,4,1,14,12,11,15,13,10	4,459,610,713,937,759,672,1419,595,38	frozen
3,7,126,243,390,395,446,452,459,584	0,2,4,8,9	1,3,6,7,10,12,16,5,15,13	4,38,279,774,747,1178,840,845,809,499	frozen
3,16,18,19,89,102,155,166,167,381	0,2,3,6,7	4,9,1,8,16,15,5,10,11,12	4,30,24,32,188,855,386,383,327,175	frozen
3,16,18,36,131,154,258,263,335,663	0,1,2,4,9	6,3,8,7,16,5,14,12,15,11	4,24,26,218,967,962,261,1346,613,61	frozen
3,16,18,37,89,332,488,501,518,571	1,2,4,7,9	6,3,0,8,16,5,10,13,14,12	4,24,26,141,1196,839,1042,985,610,175	frozen
3,16,18,84,196,221,224,311,320,426	0,1,6,7,8	2,3,4,9,16,5,12,15,14,13	4,32,39,593,1055,930,359,372,387,424	frozen
3,16,18,89,128,148,154,515,629,637	0,2,4,7,9	6,3,1,8,16,5,14,15,10,12	4,24,26,411,215,904,1315,1387,243,175	frozen
3,16,18,89,154,167,350,362,377,628	0,2,4,7,9	6,3,1,8,16,5,11,13,10,12	4,24,26,260,1306,760,1099,944,243,175	frozen
3,16,18,89,167,283,376,617,637,654	0,2,4,7,9	6,3,1,8,16,5,13,14,11,12	4,24,26,1046,657,1424,1296,1382,327,175	frozen
3,16,19,35,89,332,446,507,518,564	1,2,6,7,9	4,3,0,8,10,5,16,13,14,12	4,35,39,157,1208,747,910,985,610,175	frozen
3,16,19,36,159,376,500,526,622,637	0,1,3,6,8	4,9,2,7,16,15,10,12,13,11	4,30,24,251,1297,1382,1078,982,657,61	frozen
3,16,19,37,49,132,332,515,637,650	1,3,4,8,9	2,0,7,6,15,13,11,16,5,10	4,141,1088,1315,904,1329,438,114,24,30	frozen
3,16,19,37,49,186,466,496,518,558	1,3,4,8,9	2,0,7,6,15,14,13,16,5,10	4,141,453,903,797,852,1220,114,24,30	frozen
3,16,19,37,49,332,364,466,496,518	1,3,4,8,9	2,0,7,6,15,13,14,16,5,10	4,141,1088,903,797,852,1003,114,24,30	frozen
3,16,19,51,322,381,463,466,515,634	0,2,3,7,8	4,1,9,6,10,13,15,12,14,16	4,35,595,1390,894,797,800,855,87,24	frozen
3,16,19,83,159,194,265,507,609,642	1,2,7,8,9	0,6,3,4,14,11,13,15,5,10	4,459,537,910,304,1320,1282,443,39,35	frozen
3,16,19,83,178,254,263,466,501,618	1,2,3,6,8	0,7,9,4,14,13,5,11,15,16	4,459,797,281,871,1285,535,526,24,30	frozen
3,16,19,128,159,243,463,488,515,637	0,1,3,6,8	4,9,2,7,16,15,10,5,12,13	4,30,24,251,215,1315,894,785,839,499	frozen
3,16,19,155,228,243,265,274,503,617	0,1,2,6,9	4,3,8,7,10,5,12,11,16,13	4,35,39,244,434,874,1071,1284,546,499	frozen
3,16,19,155,265,381,463,466,515,634	0,2,3,7,8	4,9,1,6,10,13,15,12,14,16	4,35,537,1390,894,797,800,855,386,24	frozen
3,16,19,166,228,233,274,322,535,617	0,3,7,8,9	4,1,2,6,10,13,5,15,14,16	4,35,595,601,1296,1020,395,380,383,24	frozen
3,16,19,242,322,381,463,466,507,634	0,2,3,7,8	4,1,9,6,10,13,15,14,12,16	4,35,595,1390,910,797,800,855,498,24	frozen
3,16,28,35,239,315,347,387,452,622	0,2,3,4,8	1,7,9,6,13,12,14,5,10,16	4,512,840,669,587,1300,625,53,60,24	frozen
3,16,28,115,239,362,367,500,618,637	0,2,4,7,9	1,3,8,6,13,12,10,14,15,16	4,512,861,944,1294,1315,870,202,53,24	frozen
3,16,35,36,148,239,376,393,627,628	0,2,3,7,8	1,4,9,6,13,11,15,5,10,16	4,512,677,1421,1426,938,237,61,60,24	frozen
3,16,35,36,239,376,477,518,532,637	0,2,3,7,8	1,4,9,6,13,14,12,5,10,16	4,512,1067,994,903,1315,657,61,60,24	frozen
3,16,36,37,54,228,315,429,584,595	0,1,2,8,9	6,3,4,7,16,13,12,15,5,11	4,24,989,434,152,1227,1222,722,62,61	frozen
3,16,36,38,54,228,320,429,584,595	0,1,2,8,9	6,4,3,7,16,13,12,15,5,11	4,24,974,434,152,1227,1222,722,63,61	frozen
3,16,36,79,154,167,178,199,461,663	0,1,2,4,9	6,3,8,7,16,10,14,15,12,11	4,24,131,873,281,260,261,1346,314,61	frozen
3,16,36,79,242,243,273,588,591,622	0,1,2,3,8	6,9,4,7,16,12,5,14,10,11	4,24,498,499,545,1297,1186,1190,135,61	frozen
3,16,36,124,128,166,194,495,634,637	1,3,4,8,9	6,2,0,7,16,14,5,15,13,11	4,24,383,419,304,851,1312,1315,215,61	frozen
3,16,36,128,131,166,194,229,495,634	1,3,4,8,9	6,2,0,7,16,14,15,5,13,11	4,24,383,381,304,851,1312,218,215,61	frozen
3,16,36,242,243,350,566,588,591,622	0,1,2,3,8	6,9,4,7,16,12,5,10,14,11	4,24,498,499,630,1297,1186,1190,1150,61	frozen
3,16,36,315,362,367,381,389,526,625	0,2,4,8,9	6,3,1,7,16,13,14,12,15,11	4,24,989,982,662,647,642,1427,717,61	frozen
3,16,37,79,89,332,488,518,526,571	1,2,4,7,9	6,3,0,8,16,10,5,13,14,12	4,24,131,141,1196,839,982,985,610,175	frozen
3,16,37,155,157,424,494,594,627,628	0,3,4,8,9	2,7,1,6,15,11,13,5,14,16	4,141,715,1306,1305,1194,849,309,386,24	frozen
3,16,83,84,155,347,424,426,523,568	0,2,3,7,8	6,1,4,9,16,14,10,11,5,13	4,24,386,930,932,1204,725,625,459,424	frozen
3,16,83,89,141,155,157,466,500,663	0,2,3,4,9	6,1,7,8,16,14,5,15,10,12	4,24,386,309,169,806,1078,1353,230,175	frozen
3,16,83,89,154,157,178,466,500,663	0,2,3,4,9	6,7,1,8,16,14,5,15,10,12	4,24,291,309,169,806,1078,1353,243,175	frozen
3,16,84,166,395,404,449,453,457,526	0,1,3,4,8	6,2,7,9,16,14,10,11,12,13	4,24,383,955,957,923,919,982,681,424	frozen
3,16,89,128,148,152,155,515,629,637	0,2,4,7,9	6,1,3,8,16,14,5,15,10,12	4,24,386,411,215,904,1382,1387,241,175	frozen
3,16,89,152,155,617,622,629,634,651	0,2,4,7,9	6,1,3,8,16,14,11,15,10,12	4,24,386,1330,1284,1312,1300,1387,241,175	frozen
3,16,89,154,159,167,362,376,377,628	0,2,4,7,9	6,3,1,8,16,11,5,13,10,12	4,24,251,260,1306,760,938,944,243,175	frozen
3,16,89,154,159,617,629,634,637,651	0,2,4,7,9	6,3,1,8,16,11,14,15,10,12	4,24,251,1330,1284,1312,1315,1387,243,175	frozen
3,16,89,154,283,315,377,628,629,637	0,2,4,7,9	6,3,1,8,16,13,5,15,10,12	4,24,989,1046,658,1426,1382,1387,243,175	frozen
3,16,239,242,322,395,463,507,515,634	0,2,3,7,8	1,4,9,6,13,10,15,14,12,16	4,512,595,1390,910,904,800,809,498,24	frozen
3,18,19,36,79,88,89,254,335,458	0,1,2,3,9	4,7,6,8,10,5,11,14,16,12	4,35,26,131,773,793,151,486,526,175	frozen
