rows	core	order	owner_ids	status
7,16,18,19,79,154,212,322,469,477	0,3,6,7,8	2,10,1,4,15,16,5,14,13,9	12,261,26,39,135,442,1098,1067,595,35	new
7,16,18,19,154,159,212,260,469,477	0,3,6,7,8	2,10,1,4,15,16,5,13,14,9	12,261,26,39,443,442,1098,1067,1097,35	new
7,16,18,54,166,192,263,265,617,618	1,2,3,6,10	4,7,0,8,13,15,16,5,9,11	12,537,1296,1294,962,301,383,24,26,83	new
7,16,18,79,141,154,265,322,469,477	0,3,6,7,8	2,10,1,4,15,16,5,14,9,13	12,261,26,39,135,471,1098,1067,595,537	new
7,16,19,49,196,322,348,387,480,532	0,1,2,7,8	4,3,10,6,9,5,11,13,12,14	12,35,39,75,669,994,387,826,863,703	new
7,16,35,154,159,166,192,260,663,673	0,1,4,7,8	2,3,10,6,15,12,5,11,9,16	12,261,1346,1097,1406,356,259,251,24,60	new
7,18,37,132,141,154,196,404,503,664	0,1,3,6,7	2,10,8,4,15,16,9,14,13,12	12,261,26,62,230,692,1349,307,874,219	new
7,18,37,141,154,196,265,503,663,664	0,1,3,6,7	2,10,8,4,15,16,9,14,12,13	12,261,26,62,230,1353,1349,307,874,537	new
7,18,79,141,154,196,249,503,663,664	0,1,3,6,7	2,10,4,8,15,16,9,14,12,13	12,261,26,131,230,1353,1349,307,874,521	new
7,19,54,79,166,550,560,591,627,663	0,2,4,7,10	6,3,1,8,9,16,13,15,12,11	12,30,131,1234,1346,1143,1133,1421,383,83	new
7,19,79,265,459,461,622,634,637,651	0,2,7,8,10	4,1,3,6,13,15,5,12,16,9	12,537,1390,1297,1315,1330,780,774,131,30	new
7,19,154,246,315,622,628,629,631,650	1,3,6,8,10	2,7,0,4,15,12,16,11,14,9	12,261,1307,1306,1329,1309,1300,587,513,35	new
7,19,249,258,263,265,399,426,503,678	0,2,3,7,10	6,1,4,8,9,14,16,15,12,13	12,30,1071,930,865,967,962,1404,874,521	new
7,19,249,258,263,311,399,426,454,678	0,2,3,7,10	6,4,1,8,9,14,16,15,12,13	12,30,1055,930,865,967,962,1404,877,521	new
7,35,51,54,79,233,500,515,561,678	0,2,4,7,10	6,3,1,8,16,9,15,14,5,11	12,60,131,431,870,904,1378,1185,87,83	new
7,35,51,54,141,233,377,393,628,663	0,2,4,7,10	6,3,1,8,16,15,9,13,5,11	12,60,230,431,1346,1426,760,702,87,83	new
7,35,51,132,143,149,152,155,157,569	0,2,3,7,8	4,1,10,6,12,11,5,9,14,16	12,219,417,309,355,1164,401,386,87,60	new
7,35,54,79,166,550,591,627,629,663	0,2,4,7,10	6,3,1,8,16,9,13,15,12,11	12,60,131,1234,1346,1307,1133,1421,383,83	new
7,35,54,142,228,408,434,461,505,564	0,2,3,7,10	6,1,4,8,16,13,14,9,12,11	12,60,1148,941,942,880,873,452,380,83	new
7,35,54,228,408,434,461,521,564,670	0,2,3,7,10	6,1,4,8,16,13,9,14,12,11	12,60,1148,920,942,880,873,1388,380,83	new
7,35,54,229,564,591,622,627,629,663	0,2,4,7,10	6,1,3,8,16,13,9,15,12,11	12,60,1148,1234,1346,1307,1300,1421,381,83	new
7,35,79,83,132,159,233,387,468,532	0,1,2,7,8	4,10,3,6,12,5,13,11,9,16	12,219,169,805,994,669,431,251,131,60	new
7,35,79,83,132,196,233,315,387,532	0,1,2,7,8	4,10,3,6,12,5,11,13,9,16	12,219,169,307,994,669,431,989,131,60	new
7,35,83,132,159,212,233,387,468,495	0,1,2,7,8	4,10,3,6,12,5,13,9,11,16	12,219,169,805,851,669,431,251,335,60	new
7,49,54,83,132,196,243,395,452,468	0,1,2,6,7	4,10,3,8,12,5,13,16,15,11	12,219,169,805,387,114,809,499,840,83	new
7,49,132,260,364,395,429,465,466,496	2,3,7,8,10	4,0,1,6,12,14,15,9,11,13	12,219,644,896,797,796,681,75,722,532	new
7,54,83,84,246,480,495,518,584,606	0,1,2,6,7	8,3,4,10,11,14,12,9,5,13	12,83,1178,987,985,1254,826,513,459,424	new
7,54,83,84,468,480,518,527,584,606	0,1,2,6,7	8,3,4,10,11,14,9,12,5,13	12,83,1178,978,985,1254,826,805,459,424	new
7,54,83,246,265,480,507,518,584,606	0,1,2,6,7	4,10,3,8,13,5,9,12,14,11	12,537,459,513,826,1254,985,910,1178,83	new
7,54,154,166,265,408,434,495,527,634	0,3,4,7,10	2,6,1,8,15,14,5,16,12,11	12,261,696,730,537,1390,987,978,383,83	new
7,54,229,322,408,469,477,521,564,571	0,1,4,7,10	6,2,3,8,14,15,9,13,12,11	12,703,696,1057,1208,1196,1098,1067,381,83	new
7,68,132,186,212,233,426,503,526,591	0,1,2,7,10	3,6,8,4,11,16,5,9,13,12	12,100,335,294,395,1190,934,930,874,219	new
7,68,229,322,408,469,477,505,564,571	0,1,4,7,10	3,8,2,6,11,12,13,9,15,14	12,100,381,1067,1098,1196,1208,876,696,703	new
7,79,128,132,141,154,374,422,458,591	0,1,7,8,10	2,3,6,4,15,9,13,16,5,12	12,261,471,1190,135,979,996,655,215,219	new
7,83,84,149,154,157,335,389,622,629	0,1,3,6,8	2,7,4,10,15,12,16,14,5,13	12,261,1307,1297,613,717,238,247,459,424	new
7,83,84,149,265,322,347,422,500,501	0,2,3,7,8	6,1,4,10,14,9,12,11,5,13	12,703,1071,870,871,355,996,625,459,424	new
