c edge 0/47 11110000 11101000: C20, candidates=32
c edge 1/47 11110000 11100100: C20, candidates=20
c edge 2/47 11110000 11100010: C16, candidates=8
c edge 3/47 11110000 11011000: C22, candidates=16
c edge 4/47 11110000 11010100: C22, candidates=16
c edge 5/47 11110000 11010010: C18, candidates=24
c edge 6/47 11110000 10111000: C18, candidates=32
c edge 7/47 11110000 10110100: C16, candidates=8
c edge 8/47 11110000 10110010: C16, candidates=12
c edge 9/47 11101000 11100100: C18, candidates=16
c edge 10/47 11101000 11100010: C18, candidates=64
c edge 11/47 11101000 11011000: C22, candidates=160
c edge 12/47 11101000 11001100: C16, candidates=8
c edge 13/47 11101000 11001010: C18, candidates=8
c edge 14/47 11101000 10111000: C16, candidates=24
c edge 15/47 11101000 10101100: C16, candidates=12
c edge 16/47 11101000 10101010: C16, candidates=8
c edge 17/47 11100100 11100010: C18, candidates=60
c edge 18/47 11100100 11010100: C22, candidates=48
c edge 19/47 11100100 11001100: C16, candidates=8
c edge 20/47 11100100 10110100: C16, candidates=28
c edge 21/47 11100100 10101100: C16, candidates=40
c edge 22/47 11100010 11010010: C22, candidates=160
c edge 23/47 11100010 11001010: C16, candidates=8
c edge 24/47 11100010 10110010: C16, candidates=16
c edge 25/47 11100010 10101010: C14, candidates=8
c edge 26/47 11011000 11010100: C24, candidates=160
c edge 27/47 11011000 11010010: C20, candidates=160
c edge 28/47 11011000 11001100: C18, candidates=12
c edge 29/47 11011000 11001010: C20, candidates=160
c edge 30/47 11011000 10111000: C16, candidates=44
c edge 31/47 11010100 11010010: C18, candidates=4
c edge 32/47 11010100 11001100: C20, candidates=60
c edge 33/47 11010100 10110100: C16, candidates=8
c edge 34/47 11010010 11001010: C18, candidates=152
c edge 35/47 11010010 10110010: C16, candidates=28
c edge 36/47 11001100 11001010: C22, candidates=68
c edge 37/47 11001100 10101100: C14, candidates=8
c edge 38/47 11001010 10101010: C14, candidates=8
c edge 39/47 10111000 10110100: C22, candidates=84
c edge 40/47 10111000 10110010: C20, candidates=8
c edge 41/47 10111000 10101100: C20, candidates=160
c edge 42/47 10111000 10101010: C20, candidates=120
c edge 43/47 10110100 10110010: C20, candidates=56
c edge 44/47 10110100 10101100: C18, candidates=16
c edge 45/47 10110010 10101010: C18, candidates=24
c edge 46/47 10101100 10101010: C22, candidates=160
elapsed=415.56 maxrss=843544
